value, count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,7
27,19
28,29
29,59
30,97
31,137
32,182
33,221
34,299
35,422
36,499
37,614
38,758
39,944
40,1060
41,1255
42,1441
43,1648
44,1760
45,1884
46,1998
47,2090
48,2023
49,2101
50,2088
51,2030
52,1978
53,1808
54,1730
55,1668
56,1577
57,1469
58,1278
59,1236
60,1220
61,1003
62,930
63,975
64,880
65,893
66,789
67,798
68,769
69,782
70,850
71,821
72,831
73,785
74,883
75,906
76,867
77,854
78,947
79,973
80,906
81,912
82,867
83,934
84,933
85,970
86,1005
87,1019
88,1060
89,1133
90,1125
91,1186
92,1219
93,1324
94,1400
95,1538
96,1619
97,1807
98,1871
99,2085
100,1895
101,1935
102,1958
103,1831
104,1761
105,1729
106,1614
107,1504
108,1437
109,1363
110,1362
111,1347
112,1345
113,1448
114,1362
115,1352
116,1388
117,1450
118,1561
119,1575
120,1604
121,1781
122,1813
123,1893
124,2037
125,2137
126,2304
127,2319
128,2373
129,2519
130,2305
131,2302
132,2252
133,2076
134,1995
135,1818
136,1935
137,1903
138,2025
139,2140
140,2258
141,2305
142,2324
143,2455
144,2458
145,2409
146,2234
147,2315
148,2288
149,2182
150,2275
151,2315
152,2391
153,2598
154,2685
155,2742
156,2701
157,2556
158,2410
159,2261
160,2041
161,1853
162,1781
163,1613
164,1473
165,1425
166,1353
167,1233
168,1254
169,1195
170,1171
171,1208
172,1344
173,1265
174,1230
175,1158
176,1185
177,1227
178,1086
179,942
180,904
181,822
182,784
183,689
184,610
185,628
186,644
187,679
188,635
189,662
190,739
191,797
192,828
193,941
194,905
195,978
196,919
197,910
198,843
199,824
200,867
201,902
202,834
203,886
204,909
205,970
206,976
207,1065
208,1043
209,1068
210,956
211,982
212,955
213,864
214,697
215,544
216,491
217,393
218,381
219,284
220,230
221,234
222,195
223,188
224,125
225,77
226,74
227,59
228,51
229,22
230,19
231,9
232,7
233,6
234,8
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,2
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
